idx,words,lid,sa
4834,['Y' 'los' 'snacks' '.' 'https://t.co/s5X8l1oP1B'],['lang2' 'lang2' 'lang1' 'other' 'other'],positive
4835,"['Nos' 'quedamos' 'con' 'las' 'ganas' 'de' '@Los_Monkeys' '🙈🙊🙉'
 '@NEGROPR76' '#KingKong' '#chickenpesto' 'https://t.co/HoxzcWBfEz']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other'
 'ne' 'lang1' 'other']",positive
4836,['Tus' 'nudes' 'conmigo' 'están' 'seguros' '.'],['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other'],positive
4837,['Si' 'le' 'da' 'like' 'a' 'sus' 'fotos' ':' 'GATE'],['lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang1'],positive
4838,"['by' '@jessicacediel' '""' 'Familia' '!' 'Aquí' 'les' 'comparto' 'algo'
 'de' 'mi' 'visita' 'a' 'Sábado' 'Gigante' '!' 'Gracias' 'Don' '…'
 'http://t.co/UadC8YOpDX']","['lang1' 'other' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'other' 'other']",positive
4839,"['EL' 'TRUCO' 'DE' 'LA' 'INVISIBILIDAD' 'XD' '!' 'CON' 'COJO' 'Y' 'LUIS'
 '|' 'Juegos' 'del' 'hambre' '|' 'Minecraft' ':' 'https://t.co/V3Iphe5U3m'
 'vía' '@YouTube']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'ne' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other'
 'other' 'lang2' 'other']",positive
4840,"['Maluma' 'se' 'enoja' 'y' 'se' 'va' 'en' 'pleno' 'show'
 'http://t.co/fefC8KcpKT']","['ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'other']",negative
4841,"['Clases' 'de' 'etiqueta' '#kidsModel' 'Imagen' 'Modeling' 'by' 'La'
 'Gatita' 'https://t.co/K2JOlXKztQ']","['lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2'
 'other']",positive
4842,"['El' 'vlog' 'de' 'hoy' ':' 'MELOSAURUS' 'Y' 'EL' 'REPARTIDOR'
 'https://t.co/adc4hp4Vaf']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'ne' 'lang2' 'lang2' 'lang2'
 'other']",positive
4843,"['estar' '2/3' 'hermanas' 'no' 'la' 'hace' '..' '.' 'it' 'does' ""n't""
 'feel' 'the' 'same']","['lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']",negative
4844,"['Este' 'juego' 'podria' 'estar' '15-1' ',' 'But' 'you' 'playing' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1' 'lang1' 'lang1'
 'other']",neutral
4845,['jajaja' 'que' 'cute' 'https://t.co/RKTEcqBZ2F'],['lang2' 'lang2' 'lang1' 'other'],positive
4846,['Imma' 'take' 'a' 'nap' 'para' 'seguir' 'mis' 'estudios' '.'],['ne' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'other'],positive
4847,"['@mememecaigo' 'no' 'quiero' 'seguir' 'viendo' '..' '.' 'Breaks' 'my'
 'heart']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1' 'lang1'
 'lang1']",negative
4848,"['Buenas' 'noches' 'Zombers' '!!' 'Me' 'voy' 'al' 'sobre' 'a' 'dormir'
 '!!' '☺' '️😊😍😝' 'https://t.co/6ycK6VYxXK']","['lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'other' 'other']",positive
4849,"['Aunque' 'sea' 'una' 'estupidez' 'yo' 'fucking' 'odio' 'que' 'me' 'dejen'
 'en' 'el' 'read' '.' 'Lo' 'odio' 'bien' 'cabrón' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']",negative
4850,"['🔸' 'earrings' '🔸' 'Más' 'Accesorios' '#aretes' '$' '7.90'
 '#salhuaclothing' 'http://t.co/KHwZAHAucA']","['other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1'
 'other']",positive
4851,"['Mi' 'escuelita' ',' 'tiene' 'un' 'force' 'field' '.' 'No' 'hay'
 'temblor' 'que' 'valga' '.' 'http://t.co/x7rj7M0wwM']","['lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang1' 'lang1' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']",positive
4852,"['Spring' 'break' 'con' 'alguien' 'importante' '💕'
 'https://t.co/wwisfpGEXu']",['lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'other'],positive
4853,['@soyunapringada_' 'fan' 'de' 'ti' '❤' '️'],['other' 'lang1' 'lang2' 'lang2' 'other' 'other'],positive
4854,"['""' '@lalanadal' ':' '@arianaasalgado' 'de' 'Latin' 'American' 'radicals'
 '""' 'fun' '?']","['other' 'other' 'other' 'other' 'lang2' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'other']",positive
4855,['@AngieEstilo' 'vestido' '#forloveandlemons' 'y' 'Zapatos' '#gucci'],['other' 'lang2' 'lang1' 'lang2' 'lang2' 'ne'],positive
4856,"['#funny' '#elVacilondelaGatita' 'Tras' 'bastidores' '😂😂'
 'https://t.co/CaAt6VlhO1']",['lang1' 'lang2' 'lang2' 'lang2' 'other' 'other'],positive
4857,"['@NEGROPR76' 'La' 'pelicula' '..' '.' 'Omg' 'me' 'voy' 'a' 'llevar'
 'tapones' 'para' 'los' 'oídos' 'jajaja']","['other' 'lang2' 'lang2' 'other' 'other' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",positive
4858,['@boli690' 'por' 'fucking' '2'],['other' 'lang2' 'lang1' 'other'],negative
4859,['Repost' 'by' 'compravende' 'https://t.co/YiI50uq77y'],['lang1' 'lang1' 'lang2' 'other'],positive
4860,"['Tener' 'una' 'semana' 'libre' 'va' 'de' 'la' 'mano' 'con' 'no' 'querer'
 'saber' 'absolutamente' 'nada' 'del' 'colegio' 'sooo' 'to' ""'"" 'los'
 'groups' 'van' 'muteaos']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1'
 'other' 'lang2' 'lang1' 'lang2' 'lang2']",negative
4861,"['@TransitoPR' 'La' '5' 'en' 'dirección' 'a' 'Bayamon' 'esta' 'naSty' '.'
 'Tapón' 'por' 'construcción']","['other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'lang1'
 'other' 'lang2' 'lang2' 'lang2']",positive
4862,"['No' 'sirven' 'para' 'nada' '!!' 'No' 'c' 'Pq' 'no' 'les' 'dicen' '""'
 'poncha' 'y' 'vete' 'bitch' '!!' '!!' '""']","['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'other'
 'other']",negative
4863,"['@mayri_8' 'ah' 'pues' 'no' 'pq' 'salgo' 'a' 'las' '8:15' 'del' 'work'
 ',' 'sorry']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang1' 'other' 'lang1']",positive
4864,['Iría' 'a' 'The' 'showli' 'mañana' '.'],['lang2' 'lang2' 'lang1' 'ne' 'lang2' 'other'],neutral
4865,"['Enough' 'said' '..' '..' '..' '👏👍✌️' 'after' '#premioslonuestro'
 'http://t.co/pLJPiBepDM']",['lang1' 'lang1' 'other' 'other' 'other' 'other' 'lang1' 'lang2' 'other'],positive
4866,['@AemilGiuseppe' '#yolodijesuperhomo' '#confia' '#iloveyou'],['other' 'lang2' 'lang2' 'lang1'],positive
4867,['@javiidiaz06' 'no' 'hahaha' '.' 'Fue' 'enserio'],['other' 'lang2' 'lang1' 'other' 'lang2' 'lang2'],positive
4868,"['@veromolina08' 'Million' 'Years' 'Ago' 'es' 'para' 'no' 'parar' 'de'
 'llorar' 'nunca' ',' 'y' 'ver' 'tu' 'vida' 'en' 'un' 'flashback' 'bien'
 'cabron' ',' 'me' 'mata']","['other' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2']",negative
4869,"['@JPelirrojo' '@Desahogada' 'una' 'de' 'las' 'primeras' 'cosas' 'que'
 'pregunté' '😂' 'escribieron' 'un' 'post' 'sobre' 'eso' ':'
 'https://t.co/Jc6RibU69N']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'other']",positive
4870,['#ElvacilonDeLaGatita' '#Quotes' 'http://t.co/D3IvW6UR9T'],['lang2' 'lang1' 'other'],positive
4871,"['Kronno' ',' '¿' 'como' 'haces' 'para' 'soportar' 'la' 'presión' 'de'
 'la' 'fama' '?' '—' 'Es' 'complicado' '..' '.' 'intento' 'quedarme' 'con'
 'lo' 'bueno' ',' 'y' 'no' 'ha' '…' 'https://t.co/1gvDynoZY3']","['lang1' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'other' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'other' 'other']",neutral
4872,['Guys' 'yo' 'quiero' 'conocer' 'a' 'Bernie' 'Sanders' '😩'],['lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'ne' 'other'],neutral
4873,"['Me' 'gusta' 'que' 'eres' 'mas' 'grande' 'qjue' 'yo' '😂🤘🏻' 'ese'
 'feeling' 'no' 'lo' 'tengo' 'siempre']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2']",positive
4874,['Baby' 'dejame' 'contarteeee'],['lang1' 'lang2' 'lang2'],positive
4875,"['“' '@MSDAYANAAVILA' ':' 'Mi' 'estilista' 'favorita' '@AngieEstilo' 'un'
 'besitos' '😘' 'q' 'estes' 'bien' '”' 'y' 'mi' 'top' 'Model' '.' 'Besote'
 'Dayan']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang1' 'lang1'
 'other' 'lang2' 'ne']",positive
4876,"['Hola' '@TGNSpanish' 'necesito' 'que' 'me' 'quiteis' 'el' 'copyright'
 'urgente' 'porfavor' 'ando' 'en' 'chile' 'y' 'no' 'lo' 'puedo' 'arreglar'
 'no' 'puedo' 'esperar' 'al' 'lunes' '!']","['lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",negative
4877,"['Cuando' 'haya' 'vlog' 'os' 'avisaré' ',' 'do' ""n't"" 'worry' 'babies' '.'
 'Ya' 'tengo' 'los' 'dos' 'primeros' 'días' 'editados' '.' '❤' '️']","['lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'other' 'other']",positive
4878,"['Yo' 'a' 'mi' 'baby' 'siempre' 'le' 'digo' 'lo' 'buena' 'y' 'hermosa'
 'que' 'esta' '.']","['lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']",positive
4879,"['Esta' 'TShirt' 'me' 'encanta' '!!' '!!' '#elvacilondelaGatita'
 'https://t.co/3eJy5ZCRQc']",['lang2' 'lang1' 'lang2' 'lang2' 'other' 'other' 'lang2' 'other'],positive
4880,"['@farianav' '@sofia317natalia' '-' 'Una' 'chulería' '-super' 'nice' '-me'
 'haces' 'reír']","['other' 'other' 'other' 'lang2' 'lang2' 'ambiguous' 'lang1' 'lang2'
 'lang2' 'lang2']",positive
4881,"['Estoy' 'en' 'el' 'punto' 'de' 'mi' 'vida' 'en' 'donde' 'si' 'quieres'
 'estar' 'en' 'ella' 'pues' 'fine' 'y' 'si' 'no' 'pues' 'fine' 'también'
 '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang1' 'lang2' 'other']",negative
4882,"['Felicidades' 'pa' ""'l"" 'suegro' '.']",['lang2' 'lang2' 'lang1' 'lang2' 'other'],positive
4883,"['Yo' 'lo' 'adoro' '!' 'Detallista' 'el' 'Luisito' 'Thanks' '❤' '️'
 'https://t.co/NPtF6n6q91']","['lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'ne' 'lang1' 'other'
 'other' 'other']",positive
4884,"['Mi' 'familia' 'los' 'espero' 'temprano' 'mañana' 'en' 'Westland' 'Mall'
 'Hialeah' 'para' 'Ponte' 'en' 'Forma' 'con' 'La' 'Gatita' '.…'
 'http://t.co/BVA1IPpLXC']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang1' 'ne'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']",positive
4885,"['Esperando' 'el' '""' 'April' ""'s"" 'fools' '""' 'de' 'mi' 'profe' 'con'
 'el' 'quizecito' 'que' 'anunció' 'por' 'email' '😑']","['lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other']",negative
4886,['progress' '..' '.' 'saque' 'la' 'ropa' 'que' 'me' 'voy' 'a' 'llevar'],"['lang1' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2']",positive
4887,"['@EddaTH1' 'súper' 'cute' '!!' '!' 'Howie' 'can' ""n't"" 'wait' 'to' 'meet'
 'you' '..' '.']","['other' 'lang2' 'lang1' 'other' 'other' 'ne' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'other']",positive
4888,['LISTEN' 'TO' 'THE' 'KIDS' 'YO'],['lang1' 'lang1' 'lang1' 'lang1' 'lang2'],positive
4889,['@NEGROPR76' 'te' 'amo' 'baby' '!' 'Me' 'haces' 'muy' 'feliz' '!'],"['other' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']",positive
4890,"['In' 'this' 'era' 'of' 'kardashians' 'be' 'a' 'DIANA' '(' 'princess' ')'
 '____' '🌻' '____' '🌻' '____' 'WE' 'ARE' 'OPEN' 'te' 'esperamos' '!'
 '#AllYouNeedIsEcuador' 'https://t.co/9ysD53YLaT']","['lang1' 'lang1' 'lang2' 'lang1' 'ne' 'lang1' 'lang1' 'ne' 'other' 'lang1'
 'other' 'other' 'other' 'other' 'other' 'other' 'lang1' 'lang1' 'lang1'
 'lang2' 'lang2' 'other' 'lang1' 'other']",positive
4891,"['Happy' '4th' 'of' 'July' '.' 'Feliz' '4' 'de' 'Julio' '.' '#water'
 '#boat' '#friends' '#miami' '#fun' '#happy' 'http://t.co/8X7EyiYBpZ']","['lang1' 'other' 'lang1' 'lang1' 'other' 'lang2' 'other' 'lang2' 'lang2'
 'other' 'lang1' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'other']",positive
4892,"['@acgr2013' 'si' 'si' ',' 'todo' 'el' 'mundo' 'lo' 'sabe' 'ya' 'por'
 'los' 'stories' 'de' 'estas' 'anormales' '😂']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other']",positive
4893,['Fernando' 'sin' 'braces' '😍'],['ne' 'lang2' 'lang1' 'other'],positive
4894,['@flordesiree' 'si' 'por' 'favor' 'hahaha' 'estaré' 'pendiente' '😌'],['other' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other'],positive
4895,"['@colon_andre' 'estoy' 'por' 'el' 'carajo' '..' '.' 'pero' 'si' 'te'
 'quieres' 'dar' 'el' 'trip' 'me' 'dices' 'jajaja']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2']",positive
4896,"['@javiidiaz06' 'bitch' 'please' ',' 'tu' 'llevas' 'como' '3' 'meses' 'en'
 'clases' 'nada' 'mas']","['other' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2']",positive
4897,['@zapi_z' '@myastroIogy' 'JAJAJAJA' 'throwback' 'al' 'class' 'bonding'],['other' 'other' 'lang2' 'lang1' 'lang2' 'lang1' 'lang1'],positive
4898,"['Con' '“' 'Traffic' 'view' '”' 'app' 'podras' 'ver' 'el' 'tráfico' 'en'
 'tiempo' 'real' 'http://t.co/oaKfsSTNFb']","['lang2' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']",positive
4899,"['Feliz' 'Navidad' '!!' '!' '@gasolinadrink' '#sangria' 'Frozen'
 '@NEGROPR76' 'https://t.co/NxABrSQ4yW']",['lang2' 'lang2' 'other' 'other' 'other' 'lang2' 'lang1' 'other' 'other'],positive
4900,['Obviamente' 'mi' 'último' 'tweet' 'fue' 'un' 'chiste' '🙆🏼'],['lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other'],positive
4901,"['GOOD' 'Morning' 'Grupo' '!.' '..' '.' '#elvacilondelagatita' 'happy'
 'Friday' '.' 'https://t.co/w5tWCydvhS']","['lang1' 'lang1' 'lang2' 'other' 'other' 'other' 'lang2' 'lang1' 'lang1'
 'other' 'other']",positive
4902,"['Zombers' '!' 'Os' 'gusta' 'la' 'foto' 'de' 'perfil' 'del' 'canal'
 'secundario' '??' ':D' 'https://t.co/kQa6PFIdgN']","['lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'other' 'other']",positive
4903,"['Me' 'levanté' 'de' 'ese' 'nap' 'tan' 'desorientada' '.' 'Ahora' 'mi'
 'reloj' 'biológico' 'está' 'to' ""'"" 'jodío' 'y' 'parecen' 'las' '8pm' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other']",negative
4904,"['#datenight' 'salidita' 'de' 'noche' 'con' 'mi' 'amorcito' '#feliz'
 '#happy' '#happytimes' '#inlove' '#winter' '#wintertime' '…'
 'http://t.co/8cxJOIv6Se']","['lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other']",positive
4905,"['Ajajaj' 'es' 'que' 'es' 'para' 'mearse' 'de' 'la' 'RISA' ',' 'me'
 'alegro' 'que' 'os' 'haya' 'gustado' '!!' '😂😂😜|' 'Cómo' 'se' 'rodó'
 'Rise' 'of' 'theTomb' 'Raider' 'http://t.co/PpryBSOE3O']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'ne' 'other']",positive
4906,['Mi' 'otro' 'yo' '#Brother' '❤' '️' 'https://t.co/d9EdjTfgkE'],['lang2' 'lang2' 'lang2' 'lang1' 'other' 'other' 'other'],positive
4907,"['@edwardddcaleb' '@realDonaldTrump' 'The' 'thing' 'is' 'he' 'has'
 'milions' 'of' 'supporters' ',' 'which' 'is' 'ludacris' 'to' 'me' '.'
 'Eso' 'es' 'lo' 'que' 'me' 'enoja' '.']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",negative
4908,"['Algunos' 'looks' 'de' 'mi' 'querida' '@pamelasilva' 'en' 'primerimpacto'
 '.' 'Combinación' 'perfecta' 'de' 'elegancia' 'y' '…'
 'http://t.co/iNf0sHXbL4']","['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']",positive
4909,['@esme1470' '@Danyfn119' 'jajajja' '#thestruggle'],['other' 'other' 'lang2' 'lang1'],positive
4910,['Me' 'acabo' 'de' 'tirar' 'un' 'mini' 'workout' 'en' 'mi' 'cuarto' '😂'],"['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'other']",positive
4911,"['Grandes' 'raperos' 'insultandose' 'entre' 'si' 'cuando' 'en' 'realidad'
 'deberian' 'ayudarse' '..' '.' 'FUCK' 'HIPHOP' '..' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'lang1' 'lang1' 'other' 'other']",negative
4912,"['La' 'conductora' '@pamelasilva' 'de' '@PrimerImpacto' 'vestido'
 '@maydacisneros' 'y' '#Giuseppeshoes' '@peopleenespanol' '#50masbellos'
 'http://t.co/TwLR1p7081']","['lang2' 'lang2' 'other' 'lang2' 'other' 'lang2' 'other' 'lang2' 'lang1'
 'other' 'other' 'other']",neutral
4913,"['Trabajando' 'sin' 'parar' '!' 'Fuck' 'Fame' '!' '^^'
 'https://t.co/1jxaGYZvTF']",['lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'other' 'other' 'other'],negative
4914,"['Yo' 'definitivamente' 'me' 'pego' 'un' 'tiro' 'despues' 'de' '5'
 'minutos' 'en' 'un' 'musical' 'como' 'grease']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1']",positive
4915,"['@GVG222' 'enzima' '?' 'Eso' 'es' 'lo' 'que' 'está' 'escrito' 'en-cima'
 'de' 'mi' 'tumba' '?' 'Pq' 'este' 'examen' 'me' 'acaba' 'de' 'clavar'
 '..' '.' '*' 'she' 'said' 'while' 'crying' 'over' 'her' 'test' '*']","['other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other']",positive
4916,"['""' '@esangie023' ':' '@arianaasalgado' 'no' 'quiero' '""' 'child' 'labor'
 ':(((']","['other' 'other' 'other' 'other' 'lang2' 'lang2' 'other' 'lang1' 'lang2'
 'other']",positive
4917,['#ticketmaster' '#elvacilondelaGatita' 'https://t.co/oLntILPuIk'],['lang1' 'lang2' 'other'],neutral
4918,"['Si' 'no' 'es' 'una' 'cosa' ',' 'es' 'la' 'otra' '..' 'Necesito' 'un'
 'break' '😒']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang1' 'other']",negative
4919,"['@javiidiaz06' '@guillevh12' '@CauseWereGuys' 'jajajajajajajajaja' 'yo'
 'había' 'visto' 'esto' '..' 'Esta' 'pal' 'de' 'funny']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang1']",positive
4920,"['@StephanniieAnn' 'JAJAJAJAJAJAJAJJAJAJAJAJAJAJJA' 'EL' 'MEJOR' 'HASTAG'
 'GAME' 'EVER']",['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1'],positive
4921,['Las' 'identidades' 'will' 'be' 'the' 'death' 'of' 'me' '.'],['lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'],negative
4922,['@DanielaMuns' 'vamos' 'a' 'hacer' 'un' 'wine' 'night' 'con' 'Ale'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'ne'],positive
4923,"['Si' 'tuviera' 'carro' 'propio' 'todos' 'los' 'weekend' 'estaría' 'de'
 'roadtrip' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang1' 'other']",positive
4924,['Quiero' 'un' 'pasta' 'bowl' 'de' 'dominos' '😍'],['lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other'],positive
4925,"['@linamariejusti' '@roqueredondo123' 'suerte' 'ahi' ',' 'te' 'veo' 'over'
 'mañana' 'en' 'el' 'avion' 'jajajaja']","['other' 'other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2']",positive
4926,"['@stephi_san' 'has' 'todo' 'rollitos' 'para' 'que' 'te' 'quepa' 'todo'
 '😂']","['other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']",positive
4927,"['TRENDYlook' '👗' '*' 'NEW' '•' 'Falda' 'Luciana' 'floreada' '•' 'Blusa'
 'Amelie' 'color' 'Menta' '•' 'Collar' 'http://t.co/XtI5geIEBS']","['lang1' 'other' 'other' 'lang1' 'other' 'lang2' 'ne' 'lang2' 'other'
 'lang2' 'ne' 'lang2' 'lang2' 'other' 'lang2' 'other']",positive
